"filename", "language", "Markdown", "JSON with Comments", "JSON", "MS SQL", "YAML", "HTML", "TypeScript", "Python", "Batch", "PowerShell", "Properties", "C++", "Makefile", "JavaScript", "XML", "TypeScript JSX", "Groovy", "Shell Script", "Ini", "PostCSS", "JavaScript JSX", "pip requirements", "Svelte", "toml", "JSON Lines", "WebAssembly Text Format", "Rust", "reStructuredText", "TeX", "C", "TSV", "Ruby", "SCSS", "Java", "CSV", "Docker", "R", "Go", "comment", "blank", "total"
"c:\Users\Marlowe\Desktop\ProjectBible\.devcontainer\devcontainer.json", "JSON with Comments", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\Marlowe\Desktop\ProjectBible\.github\workflows\deploy-pwa.yml", "YAML", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 49
"c:\Users\Marlowe\Desktop\ProjectBible\.venv\Lib\site-packages\_distutils_hack\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 50, 223
"c:\Users\Marlowe\Desktop\ProjectBible\.venv\Lib\site-packages\_distutils_hack\override.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Marlowe\Desktop\ProjectBible\.venv\Lib\site-packages\pip\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 14
"c:\Users\Marlowe\Desktop\ProjectBible\.venv\Lib\site-packages\pip\__main__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 25
"c:\Users\Marlowe\Desktop\ProjectBible\.venv\Lib\site-packages\pip\__pip-runner__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 17, 51
"c:\Users\Marlowe\Desktop\ProjectBible\.venv\Lib\site-packages\pip\_internal\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 19
"c:\Users\Marlowe\Desktop\ProjectBible\.venv\Lib\site-packages\pip\_internal\build_env.py", "Python", 0, 0, 0, 0, 0, 0, 0, 224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 40, 323
"c:\Users\Marlowe\Desktop\ProjectBible\.venv\Lib\site-packages\pip\_internal\cache.py", "Python", 0, 0, 0, 0, 0, 0, 0, 189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 46, 291
"c:\Users\Marlowe\Desktop\ProjectBible\.venv\Lib\site-packages\pip\_internal\cli\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 5
"c:\Users\Marlowe\Desktop\ProjectBible\.venv\Lib\site-packages\pip\_internal\cli\autocompletion.py", "Python", 0, 0, 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 17, 177
"c:\Users\Marlowe\Desktop\ProjectBible\.venv\Lib\site-packages\pip\_internal\cli\base_command.py", "Python", 0, 0, 0, 0, 0, 0, 0, 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 42, 241
"c:\Users\Marlowe\Desktop\ProjectBible\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py", "Python", 0, 0, 0, 0, 0, 0, 0, 835, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 148, 1076
"c:\Users\Marlowe\Desktop\ProjectBible\.venv\Lib\site-packages\pip\_internal\cli\command_context.py", "Python", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 28
"c:\Users\Marlowe\Desktop\ProjectBible\.venv\Lib\site-packages\pip\_internal\cli\index_command.py", "Python", 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 35, 172
"c:\Users\Marlowe\Desktop\ProjectBible\.venv\Lib\site-packages\pip\_internal\cli\main.py", "Python", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 17, 81
"c:\Users\Marlowe\Desktop\ProjectBible\.venv\Lib\site-packages\pip\_internal\cli\main_parser.py", "Python", 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 29, 135
"c:\Users\Marlowe\Desktop\ProjectBible\.venv\Lib\site-packages\pip\_internal\cli\parser.py", "Python", 0, 0, 0, 0, 0, 0, 0, 196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 50, 295
"c:\Users\Marlowe\Desktop\ProjectBible\.venv\Lib\site-packages\pip\_internal\cli\progress_bars.py", "Python", 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14, 95
"c:\Users\Marlowe\Desktop\ProjectBible\.venv\Lib\site-packages\pip\_internal\cli\req_command.py", "Python", 0, 0, 0, 0, 0, 0, 0, 260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 33, 330
"c:\Users\Marlowe\Desktop\ProjectBible\.venv\Lib\site-packages\pip\_internal\cli\spinners.py", "Python", 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 28, 160
"c:\Users\Marlowe\Desktop\ProjectBible\.venv\Lib\site-packages\pip\_internal\cli\status_codes.py", "Python", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Marlowe\Desktop\ProjectBible\.venv\Lib\site-packages\pip\_internal\commands\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 13, 133
"c:\Users\Marlowe\Desktop\ProjectBible\.venv\Lib\site-packages\pip\_internal\commands\cache.py", "Python", 0, 0, 0, 0, 0, 0, 0, 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 40, 229
"c:\Users\Marlowe\Desktop\ProjectBible\.venv\Lib\site-packages\pip\_internal\commands\check.py", "Python", 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 68
"c:\Users\Marlowe\Desktop\ProjectBible\.venv\Lib\site-packages\pip\_internal\commands\completion.py", "Python", 0, 0, 0, 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 3, 131
"c:\Users\Marlowe\Desktop\ProjectBible\.venv\Lib\site-packages\pip\_internal\commands\configuration.py", "Python", 0, 0, 0, 0, 0, 0, 0, 202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 40, 281
"c:\Users\Marlowe\Desktop\ProjectBible\.venv\Lib\site-packages\pip\_internal\commands\debug.py", "Python", 0, 0, 0, 0, 0, 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 44, 202
